properties.address,properties.name,properties.phone
"3975 S. Buffalo Drive, Las Vegas, Nevada 89147",CSL Plasma,702.462.8777
"4025 24th Avenue, Fort Gratiot, Michigan 448059",CSL Plasma,810-216-7136
"4970 Delhi AVenue, Cincinnati, Ohio 45238",CSL Plasma,513-347-0763
"3456 Annapolis Road, Halethorpe, Maryland 21227",CSL Plasma,410-561-3585
"4997 Twin City Hwy Suite 130, Port Arthur, Texas 77642",CSL Plasma,409-300-3201
"215 Assembly Street, Columbia, South Carolina 29201",CSL Plasma,803-254-2280
"630 Chesnee Hwy Ste 3, Spartanburg, South Carolina 29303",CSL Plasma,864-529-3919
"6014 Lewis Avenue, Toledo, Ohio 43612",CSL Plasma,561-912-3068
"701 S. International, Weslaco, Texas 78596",CSL Plasma,956.225.0290
"603 N. Ed Carey Dr, Harlingen, Texas 78550",CSL Plasma,956.226.0032
"1655 S College St. Ste C, Auburn, Alabama 36832",CSL Plasma,334-539.3333
"2150 Riverside Parkway, Lawrenceville, Georgia 30043",CSL Plasma,678.229.1665
"1290 28th St SW, Wyoming, Michigan 49509",CSL Plasma,616.885.9998
"140 Park Shopping Center, Parkersburg, West Virginia, 26101",CSL Plasma,304.707.3014
"572 University Ave West, St. Paul, Minnesota 55103",CSL Plasma,651-780-7225
"2200 N. Yarbrough Dr. Ste K, El Paso, Texas 79925",CSL Plasma,915.201.2908
"3141 Denton Hwy, Haltom City, Texas 76117",CSL Plasma,817.204.0291
"8348 Colerain Avenue, Cincinnati, Ohio 45239",CSL Plasma,513.725.4175
"1321 S Madison Avenue, Muncie, Indiana 47302",CSL Plasma,765.273.4130
"3800 East State Street, Rockford, Illinois 61108",CSL Plasma,779.207.4419
"1043 Cleveland Ave, East Point, Georgia 30344,",CSL Plasma,404.902.5749
"2293 Browns Bridge Rd, Gainesville, Georgia 30501",CSL Plasma,678.207.4844
"101 E 5th Street, Douglas, Arizona 85607",CSL Plasma,520.645.1045
"3655 Fredericksburg Road, #107, San Antonio, Texas 78201",CSL Plasma (Fredericksburg),210-736-2824
"8725 Marbach Road, # 275, San Antonio, Texas 78227",CSL Plasma (Lackland),210-675-4521
"Csapo utca 42, 4029 Debrecen, Hungary",CSL Plasma - Debrecen,
"Stiftstrasse 9-17, 60313 Frankfurt am Main, Germany",CSL Plasma - Frankfurt,
"Széchenyi István út 35, 3525 Miskolc, Hungary",CSL Plasma - Miskolc,
"Nagy Imre tér 1, Bldg A 4th floor, 4400 Nyíregyháza, Hungary",CSL Plasma - Nyíregyháza,
"Roztylska 2321/19, Prague, 14800 Czech Republic",EUROPLASMA s.r.o.,+42 272075555
"Chlumecka 756/6, Prague, 19819 Czech Republic",EUROPLASMA s.r.o. Spendezentrum CernyMost,+42.272.075.555
"Landstrasse 155-157, Hainburg, 2410 Austria",EUROPLASMA Spendezentrum Hainburg,432-216-5520
"Hauptplatz 19, Top 125, Leoben, 8700 Austria",EUROPLASMA Spendezentrum Leoben,433-842-4440
"Kremser Strasse 5, Retz, 2070 Austria",EUROPLASMA Spendezentrum Retz,432-942-2033
"Shopping City Seiersberg 1, Seiersberg, 8055 Austria",EUROPLASMA Spendezentrum Seiersberg,433-162-9333
"Schulring 21, St. Polten, 3100 Austria",EUROPLASMA Spendezentrum St. Polten,432-742-9033
"Ignaz Koeckstrasse 10, Tech 21, Wien Vienna, 1210 Austria",EUROPLASMA Spendezentrum Wien 21,431-908-1100
"Alserbachstrasse 18, Wien Vienna, 1090 Austria",EUROPLASMA Spendezentrum Wien 9,431-319-5363
"371 W Highland Avenue, San Bernardino, California 92404","GCAM Plasma, Inc.",909-883-9501
"7018 Bandera Road, Leon Valley, Texas 78238","GCAM Plasma, Inc.",210.680.0562
"815 Grant Street, Laredo, Texas 78040","GCAM Plasma, Inc.",956-729-7677
"220 E Rio Grande Street, Eagle Pass, Texas 78852","GCAM Plasma, Inc.",830-752-6286
"771 N College Road, Twin Falls, Idaho 83301","GCAM Plasma, Inc.",280-733-5177
"320 E Main Street, Pullman, Washington 99163","GCAM Plasma, Inc.",509-715-1133
"1131 SE Military Drive, San Antonio, Texas 78214","GCAM Plasma, Inc.",210-928-9031
"1129 4th Avenue North, Birmingham, Alabama 35203",Grifols Biomat USA,205-583-4744
"3460 Demetropolis Road, Mobile, Alabama 36693",Grifols Biomat USA,251-666-3155
"2101 3rd Avenue South, Birmingham, Alabama 35233",Grifols Biomat USA,205-322-2400
"4020 North 19th Avenue, Phoenix, Arizona 85015",Grifols Biomat USA,602-266-1616
"535 South Dobson Road, Mesa, Arizona 85202",Grifols Biomat USA,480-833-1598
"5242 W. Camelback Road, Glendale, Arizona 85301",Grifols Biomat USA,602-272-3224
"3400 Rogers Avenue, #114, Ft. Smith, Arkansas 72903",Grifols Biomat USA,479-782-0197
"19255 Vanowen Street, Reseda, California 91335",Grifols Biomat USA,818-201-3800
"7150 El Cajon Boulevard, San Diego, California 92115",Grifols Biomat USA,619-521-5850
"612 B West Katella Avenue, Orange, California 92867",Grifols Biomat USA,714-639-2323
"246 Bernard Street, Bakersfield, California 93305",Grifols Biomat USA,661-863-0621
"17641 Vanowen Street, Van Nuys, California 91406",Grifols Biomat USA,818-344-0204
"4030 Wible Road, Bakersfield, California 93309",Grifols Biomat USA,661-833-2380
"501 Sable Boulevard, Aurora, Colorado 80011",Grifols Biomat USA,303-367-9660
"8800 W. Colfax Avenue, Lakewood, Colorado 80215",Grifols Biomat USA,303-620-4655
"3776 Airport Road, Colorado Springs, Colorado 80910",Grifols Biomat USA,719-380-6991
"1950 West Tennessee Street, Tallahassee, Florida 32304",Grifols Biomat USA,850-222-0195
"380 S. Northlake Blvd, Suite 1024, Altamonte Springs, Florida 32701",Grifols Biomat USA,407-628-4248
"630 North Avenue, Macon, Georgia 31211",Grifols Biomat USA,478-745-7626
"8805 White Bluff Road, Suite G,H, J, Savannah, Georgia 31406",Grifols Biomat USA,912-927-4005
"3160 Wrightsboro Road, Augusta, Georgia 30909",Grifols Biomat USA,706-733-9158
"425 E. Center, Pocatello, Idaho 83201",Grifols Biomat USA,208-233-3888
"4017 Overland Road, Boise, Idaho 83705",Grifols Biomat USA,208-338-8417
"48 E. Main Street, Rexburg, Idaho 83440",Grifols Biomat USA,208-359-1800
"3280 West 87th Street, Chicago, Illinois 60652",Grifols Biomat USA,708-459-9888
"1901 Western Avenue, South Bend, Indiana 46619",Grifols Biomat USA,574-234-6010
"1132 Locust Street, Terre Haute, Indiana 47807",Grifols Biomat USA,812-645-0016
"502 North Capitol, Indianapolis, Indiana 46204",Grifols Biomat USA,317-637-3294
"3620 North Post Road, Indianapolis, Indiana 46226",Grifols Biomat USA,317-890-8997
"1223 6th Avenue, Des Moines, Iowa 50314",Grifols Biomat USA,515-244-0771
"617 Mynster Street, Council Bluffs, Iowa 51503",Grifols Biomat USA,712-352-1218
"2120 Southwest 6th Street, Topeka, Kansas 66606",Grifols Biomat USA,785-233-0079
"5906 Airline Highway, Suite 101, Baton Rouge, Louisiana 70805",Grifols Biomat USA,225-354-0965
"1037C West Patrick Street, Frederick, Maryland 21702",Grifols Biomat USA,301-360-2400
"167 E. Kalamazoo Avenue, Kalamazoo, Michigan 49007",Grifols Biomat USA,269-381-0086
"28400 Grand River Avenue, Farmington Hills, Michigan 48336",Grifols Biomat USA,248-957-2227
"2002 N Street, Lincoln, Nebraska 68510",Grifols Biomat USA,402-438-4466
"611 North Las Vegas Boulevard, Las Vegas, Nevada 89101",Grifols Biomat USA,702-385-5172
"270 E. Sixth Street, Reno, Nevada 89501",Grifols Biomat USA,775-329-9421
"1828 Seymour Avenue, Cincinnati, Ohio 45237",Grifols Biomat USA,513-618-7999
"2840 East 116th Street, Cleveland, Ohio 44120",Grifols Biomat USA,216-258-0249
"3840 East Main Street, Whitehall, Ohio 43213",Grifols Biomat USA,614-231-5322
"6700 East Reno Avenue, Midwest City, Oklahoma 73110",Grifols Biomat USA,405-737-2447
"8033 SE Holgate Blvd, Portland, Oregon 97206",Grifols Biomat USA,503-777-5320
"630 Greenwich Street, Suite 3, Reading, Pennsylvania 19601",Grifols Biomat USA,610-685-5060
"812 Buffalo Street, Johnson City, Tennessee 37604",Grifols Biomat USA,423-926-8174
"1728 N Eastman Rd Ste 1B, Kingsport, Tennessee 37664",Grifols Biomat USA,423-246-6035
"1596 Ft. Campbell Blvd, Suite C, Clarksville, Tennessee 37042",Grifols Biomat USA,931-647-5555
"1620 Church Street, Nashville, Tennessee 37203",Grifols Biomat USA,615-327-0218
"2580 Gus Thomasson Road, Dallas, Texas 75228",Grifols Biomat USA,214-321-6777
"1519 S. Cooper St., Arlington, Texas 76010",Grifols Biomat USA,817-461-4764
"5629 West Rosedale Street, Ft. Worth, Texas 76107",Grifols Biomat USA,817-570-9212
"1223 West 43rd Street, Houston, Texas 77018",Grifols Biomat USA,713-688-3288
"8747 West Bellfort, Houston, Texas 77031",Grifols Biomat USA,713-484-6899
"8537 Gulf Freeway, Houston, Texas 77017",Grifols Biomat USA,713-943-8828
"330 West Little York Road, Houston, Texas 77076",Grifols Biomat USA,281.999.7970
"1502 Hidalgo Street, Laredo, Texas 78040",Grifols Biomat USA,956-796-0222
"500 N Flores Avenue, San Antonio, Texas 78205",Grifols Biomat USA,210-210-7304
"400 N 10th Street, McAllen, Texas 78501",Grifols Biomat USA,956-686-0042
"1441 W. Pleasant Run Road, Lancaster, Texas 75146",Grifols Biomat USA,972-275-0570
"375 S. State Street #H, Clearfield, Utah 84015",Grifols Biomat USA,801-825-1999
"38 E 800 South, Salt Lake City, Utah 84111",Grifols Biomat USA,801-363-7697
"630 West North Temple, Salt Lake City, Utah 84116",Grifols Biomat USA,801-531-1279
"2520 W. 4700 South, Bldg. A, Taylorsville, Utah 84129",Grifols Biomat USA,801-965-9160
"3073 Harrison Boulevard, Ogden, Utah 84403",Grifols Biomat USA,801-392-2296
"349 E. University Parkway, Orem, Utah 84058",Grifols Biomat USA,801-235-9800
"1045-1/2 N. Main Street, Suite A, Logan, Utah 84341",Grifols Biomat USA,435-753-7802
"1315 Euclid Avenue Ste D-20, Bristol, Virginia 24201",Grifols Biomat USA,276-645-6035
"15 West Mercury Boulevard, Suite C, Hampton, Virginia 23666",Grifols Biomat USA,757.726-0501
"202 Boatwright Avenue, Danville, Virginia 24541",Grifols Biomat USA,434-791-0326
"1221 London Boulevard, Portsmouth, Virginia 23704",Grifols Biomat USA,757-393-1200
"7726 15th N.W., Seattle, Washington 98117",Grifols Biomat USA,206-782-6675
"8413 Evergreen Way, Everett, Washington 98208",Grifols Biomat USA,425-267-9800
"5001 S 56th Street, Suite J-O, Tacoma, Washington 98409",Grifols Biomat USA,253-473-7021
"101 North Union Ste 108, Kennewick, Washington 99336",Grifols Biomat USA,509-737-9000
"2522 West State Street, Milwaukee, Wisconsin 53233",Grifols Biomat USA,414-344-2100
"501 N 900 East, Provo, Utah 84606",Grifols Biomat USA,801-375-2279
"16227 Lakewood Blvd, Bellflower, California 90706",Grifols Biomat USA,562-602-2004
"3217 Dorr Street, Ste B, Toledo, Ohio 43607",Grifols Biomat USA,419-531-3332
"7141 Pecos Street, Denver, Colorado 80221",Grifols Biomat USA,303-427-4059
"1330 Western Avenue, Pittsburgh, Pennsylvania 15322",Grifols Biomat USA,412-322-1909
"209 South Jackson Road, Edinburg, Texas 78539",Grifols Biomat USA,956-287-0365
"1000 Broadway Drive, Suite 42, Hattiesburg, Mississippi 39401",Grifols Biomat USA,601-620-0908
"3250 N Las Vegas Blvd, N Las Vegas, Nevada 89115",Grifols Biomat USA,702-632-0810
"2717 West 26th Street, Erie, Pennsylvania 16506",Grifols Biomat USA,814-835-6826
"2721 West Main Street, Dothan, Alabama 36301",Grifols Biomat USA,334-651-8000
"2310 East Saunders Street, Suite 108, Laredo, Texas 78041",Grifols Biomat USA,956-791-0127
"444 Martin Luther King Boulevard, Youngstown, Ohio 44502",Grifols Biomat USA,330-746-8879
"1951 West 5400 South, Roy, Utah 84067",Grifols Biomat USA,801-825-0111
"451 Ariana Road, Newport News, Virginia 23608",Grifols Biomat USA,757-989-5209
"727 E 9400 S, Sandy, Utah 84094",Grifols Biomat USA,801-566-2534
"1188 Sage Drive, Cedar City, Utah 84720",Grifols Biomat USA,435-867-8554
"12224 Frankstown Road, Pittsburgh, Pennsylvania 15235",Grifols Biomat USA,412-793-0150
"905 Midway Road, Menasha, Wisconsin 54952",Grifols Biomat USA,920-729-0732
"1235 S. Josey Lane Suite 520, Carrolton, Texas 75006",Grifols Biomat USA,972-336-1816
"4350 S. Laburnum Avenue, Richmond, Virginia 23231",Grifols Biomat USA,804-643-6789
"2364 W Oak Ridge Rd, Orlando, Florida 32807",Grifols Biomat USA,407-816-8378
"3748 Nolensville Pike, Nashville, Tennessee 37211",Grifols Biomat USA,615-327-0218
"7320 Broadway, Merrillville, Indiana 46410",Grifols Biomat USA,219.769.7705
"1309 E. Red River Street, Victoria, Texas 77901",Grifols Biomat USA,361.576.9519
"652 E Prater Way, Sparks, Nevada 89431",Grifols Biomat USA,775.351.1505
"3201 10th Ave Ste E, Tuscaloosa, Alabama 35401","Grifols Talecris Plasma Resources, Inc.",205-752-1547
"2420 Jordan Lane Suite L, Huntsville, Alabama 35816","Grifols Talecris Plasma Resources, Inc.",256-217-0345
"1407 280 Bypass, Phenix City, Alabama 36867","Grifols Talecris Plasma Resources, Inc.",334-297-5711
"1881 S 4th Avenue Suite E, Yuma, Arizona 85364","Grifols Talecris Plasma Resources, Inc.",928-782-2101
"5048 W. Northern Ave. Ste 101, Glendale, Arizona 85302","Grifols Talecris Plasma Resources, Inc.",623-939-0441
"6227 Colonel Glenn Road, Little Rock, Arkansas 72204","Grifols Talecris Plasma Resources, Inc.",501-565-6275
"145 S Sheridan Ste 200/202, Lakewood, Colorado 80226","Grifols Talecris Plasma Resources, Inc.",303-238-0363
"2502 East Pikes Peak Ave Ste 180, Colorado Springs, Colorado 80909","Grifols Talecris Plasma Resources, Inc.",719-635-5926
"1501 Moore Avenue, Pueblo, Colorado 81005","Grifols Talecris Plasma Resources, Inc.",719-544-3009
"2444 Mayport Road, Jacksonville, Florida 32233","Grifols Talecris Plasma Resources, Inc.",904-241-6376
"3810 W. Barracas Avenue, Pensacola, Florida 32507","Grifols Talecris Plasma Resources, Inc.",850-456-0975
"1308 W Broad Avenue, Albany, Georgia 31707","Grifols Talecris Plasma Resources, Inc.",229-430-7389
"4335 Victory Drive, Columbus, Georgia 31903","Grifols Talecris Plasma Resources, Inc.",706-687-1071
"1052 West Riverside Blvd Ste 302, Rockford, Illinois 61103","Grifols Talecris Plasma Resources, Inc.",815-633-7125
"1902 North Sheridan Road, Peoria, Illinois 61604","Grifols Talecris Plasma Resources, Inc.",309-686-0173
"511 West Washington Street, Bloomington, Illinois 61701","Grifols Talecris Plasma Resources, Inc.",309-827-3031
"241 S Mattis Avenue, Champaign, Illinois 61821","Grifols Talecris Plasma Resources, Inc.",217-355-9703
"2609 Grand Avenue, Waukegan, Illinois 60085","Grifols Talecris Plasma Resources, Inc.",847-599-9600
"3533 South Scatterfield Road, Anderson, Indiana 46013","Grifols Talecris Plasma Resources, Inc.",765-649-3900
"6340 Gateway Drive Suite 2, Indianapolis, Indiana 46254","Grifols Talecris Plasma Resources, Inc.",317-293-3100
"5037 Preston Highway, Louisville, Kentucky 40213","Grifols Talecris Plasma Resources, Inc.",502-968-9264
"325 E. Main Street, Lafayette, Louisiana 70501","Grifols Talecris Plasma Resources, Inc.",337-233-6602
"1001 Gerstner Memorial Hwy 14, Lake Charles, Louisiana 70601","Grifols Talecris Plasma Resources, Inc.",337-491-9476
"1020 Shreveport Barksdale Hwy, Ste 160, Shreveport, Louisiana 71105","Grifols Talecris Plasma Resources, Inc.",318-861-1466
"3511-A Desiard Street, Monroe, Louisiana 71209","Grifols Talecris Plasma Resources, Inc.",318-345-0051
"4027 North Jennings Road, Flint, Michigan 48504","Grifols Talecris Plasma Resources, Inc.",810-787-3982
"3740 Dixie Highway, Saginaw, Michigan 48601","Grifols Talecris Plasma Resources, Inc.",989-746-9447
"921 W Holmes Road, Ste 300, Lansing, Michigan 48910","Grifols Talecris Plasma Resources, Inc.",517-272-9044
"1695 South Robert Street, West St. Paul, Minnesota 55118","Grifols Talecris Plasma Resources, Inc.",651-455-6111
"1910 Suburban Avenue, St. Paul, Minnesota 55119","Grifols Talecris Plasma Resources, Inc.",651-501-0800
"6582 University Avenue, NE, Fridley, Minnesota 55432","Grifols Talecris Plasma Resources, Inc.",763-571-9166
"800 Holiday Drive Ste 140, Moorhead, Minnesota 56560","Grifols Talecris Plasma Resources, Inc.",218-287-2700
"1912 Civic Center Drive, North Las Vegas, Nevada 89030","Grifols Talecris Plasma Resources, Inc.",702 642-4037
"3615 New Bern Avenue, Raleigh, North Carolina 27610","Grifols Talecris Plasma Resources, Inc.",919-231-2744
"731 Central Avenue, Charlotte, North Carolina 28204","Grifols Talecris Plasma Resources, Inc.",704-372-1644
"3017 Freedom Drive, Charlotte, North Carolina 28208","Grifols Talecris Plasma Resources, Inc.",704-392-6500
"446 Grove Street, Fayetteville, North Carolina 28301","Grifols Talecris Plasma Resources, Inc.",910-323-4154
"3469 Great Western Blvd, Columbus, Ohio 43204","Grifols Talecris Plasma Resources, Inc.",614-308-7974
"824 30th Street NW, Canton, Ohio 44709","Grifols Talecris Plasma Resources, Inc.",330-430-1434
"3909 Salem Avenue, Dayton, Ohio 45506","Grifols Talecris Plasma Resources, Inc.",937-275-5996
"7103 South Western Avenue, Oklahoma City, Oklahoma 73139","Grifols Talecris Plasma Resources, Inc.",405-634-0220
"10115 S.E. Stark Street, Portland, Oregon 97216","Grifols Talecris Plasma Resources, Inc.",503-252-5308
"351 Belmont Street NE, Salem, Oregon 97301","Grifols Talecris Plasma Resources, Inc.",503-364-8946
"1901 West 8th Ave., Eugene, Oregon 97402","Grifols Talecris Plasma Resources, Inc.",541-683-9430
"2933 North 7th Street, Harrisburg, Pennsylvania 17110","Grifols Talecris Plasma Resources, Inc.",717-232-1501
"1025 N. Minnesota Avenue, Sioux Falls, South Dakota 57104","Grifols Talecris Plasma Resources, Inc.",605-271-6090
"8057 West Virginia Drive, Dallas, Texas 75237","Grifols Talecris Plasma Resources, Inc.",972-572-0344
"1709 South Avondale Street, Amarillo, Texas 79106","Grifols Talecris Plasma Resources, Inc.",806-355-7373
"2520 Jacksboro Hwy, Ft. Worth, Texas 76114","Grifols Talecris Plasma Resources, Inc.",817-625-4500
"908 South Ft. Hood Street, Killeen, Texas 76541","Grifols Talecris Plasma Resources, Inc.",254-200-1121
"2118 S Zarzamora Blvd #448, San Antonio, Texas 78207","Grifols Talecris Plasma Resources, Inc.",210-212-6226
"4244 Ayers Street, Corpus Christi, Texas 78415","Grifols Talecris Plasma Resources, Inc.",361-855-0310
"500 S Bicentennial Avenue Ste 200, McAllen, Texas 78501","Grifols Talecris Plasma Resources, Inc.",956-683-1656
"829 South Main Street, Del Rio, Texas 78840","Grifols Talecris Plasma Resources, Inc.",830-775-1663
"350 South Adams Street, Eagle Pass, Texas 78852","Grifols Talecris Plasma Resources, Inc.",830-757-3010
"720 Texas Avenue, El Paso, Texas 79901","Grifols Talecris Plasma Resources, Inc.",915-532-5322
"3515 Alameda Drive, El Paso, Texas 79905","Grifols Talecris Plasma Resources, Inc.",915-351-0920
"8802 Alameda Avenue, El Paso, Texas 79907","Grifols Talecris Plasma Resources, Inc.",915-859-6855
"8500 Dyer Street, Space 25, El Paso, Texas 79904","Grifols Talecris Plasma Resources, Inc.",915-757-2735
"651 West Columbia Lane, Provo, Utah 84604","Grifols Talecris Plasma Resources, Inc.",801-377-1243
"2727 Franklin Road, Roanoke, Virginia 24014","Grifols Talecris Plasma Resources, Inc.",540-344-3247
"2530 West North Avenue, Milwaukee, Wisconsin 53205","Grifols Talecris Plasma Resources, Inc.",414-933-2819
"1558 Brittain Road, Akron, OH, 44310","Grifols Talecris Plasma Resources, Inc.",330-633-6288
"4600 Bragg Boulevard, Fayetteville, North Carolina 28303","Grifols Talecris Plasma Resources, Inc.",910-867-9915
"1411 Garner Station Blvd, Raleigh, North Carolina 27603","Grifols Talecris Plasma Resources, Inc.",919-779-4749
"8631 North Loop Drive, El Paso, Texas 79907","Grifols Talecris Plasma Resources, Inc.",915-860-7323
"4710 Alabama Street, El Paso, Texas 79930","Grifols Talecris Plasma Resources, Inc.",915-564-5012
"2840 S Dort Highway, Flint, Michigan 78507","Grifols Talecris Plasma Resources, Inc.",810-743-2025
"800 Jackson Street, Alexandria, Louisiana 71301","Grifols Talecris Plasma Resources, Inc.",318-484-2026
"G3483 Van Syke Rd, Flint, Michigan 48507","Grifols Talecris Plasma Resources, Inc.",810-237-1041
"625 Dorr Street Toledo, Ohio 43604","GRIFOLS Talecris Plasma Resources, Inc.",419-244-3910
"1331 S Cannon Blvd, Kannapolis, North Carolina 28083","Grifols Talecris Plasma Resources, Inc.",704-933-1300
"2438 Clark Avenue, Albany, Georgia 31705","Grifols Talecris Plasma Resources, Inc.",229-420-8456
"649 24th Street, Port Huron, Michigan 48060","Grifols Talecris Plasma Resources, Inc.",810.985.5834
Wilmersdorfer Straße 54 10627 Berlin Germany,Haema Blutspendezentrum Berlin-Charlottenburg,+49 030-688 383 620
Peter-Weiss-Gasse 1 12627 Berlin Germany,Haema Blutspendezentrum Berlin-Hellersdorf,+49 030-992-550
Havemannstraße 12b 12689 Berlin Germany,Haema Blutspendezentrum Berlin-Marzahn,+49 030-936 410
Landsberger Allee 117 10407 Berlin Germany,Haema Blutspendezentrum Berlin-Prenzlauer Berg,+49 30 45 79 97
Berliner Straße 25 13507 Berlin Germany,Haema Blutspendezentrum Berlin-Tegel,+49-030-437-4360
Badstraße 4a 13357 Berlin Germany,Haema Blutspendezentrum Berlin-Wedding,+49 030-497 689210
Poststraße 19 53111 Bonn Germany,Haema Blutspendezentrum Bonn,
Kirchhofstraße 1-2 14776 Brandenburg an der Havel Germany,Haema Blutspendezentrum Brandenburg a.d. Havel,+49 3381 396 7630
Markt 5 09111 Chemnitz Germany,Haema Blutspendezentrum Chemnitz,
Ostenhellweg 50-52 44135 Dortmund Germany,Haema Blutspendezentrum Dortmund,
Fetscherplatz 2a 01307 Dresden Germany,Haema Blutspendezentrum Dresden-Fetscherplatz,49.351.2166819
Rosenstraße 30 01067 Dresden Germany,Haema Blutspendezentrum Dresden-World Trade Center,49.351.40792538
Lachsgasse 3 99084 Erfurt Germany,Haema Blutspendezentrum Erfurt,
Kettwiger Straße 64 45127 Essen Germany,Haema Blutspendezentrum Essen,
"Landsteinerstrasse 1, 04103 Leipzig Germany",Haema Blutspendezentrum Firmen Zentrale,
Karl-Marx-Str. 2 15230 Frankfurt (Oder) Germany,Haema Blutspendezentrum Frankfurt (Oder),+49 335.869.11820
Bahnhofstraße 40-42 09599 Freiberg Germany,Haema Blutspendezentrum Freiberg,
NEU Breitscheidstraße 1-5 07545 Gera Germany,Haema Blutspendezentrum Gera,
An der Frauenkirche 12 City Center Frauentor 02826 Görlitz Germany,Haema Blutspendezentrum Görlitz,
Oststraße 51 99867 Gotha Germany,Haema Blutspendezentrum Gotha,
Käthe-Kollwitz-Straße 6 04668 Grimma Germany,Haema Blutspendezentrum Grimma,
City Galerie Neustädter Passage 17 A 06122 Halle (Saale) Germany,Haema Blutspendezentrum Halle (Saale),
Westring 2 59065 Hamm Germany,Haema Blutspendezentrum Hamm,
Goethe Gallerie Goethestraße 3a 07743 Jena Germany,Haema Blutspendezentrum Jena,
Karl-Liebknecht-Straße 153-155 04277 Leipzig Germany,Haema Blutspendezentrum Leipzig-Connewitz,
Lützowstraße 11 04155 Leipzig Germany,Haema Blutspendezentrum Leipzig-Gohlis,49.341.5830950
Markt 9 04109 Leipzig Germany,Haema Blutspendezentrum Leipzig-Markt,49.341.2120060
Sandstraße 1-15 23552 Lübeck Germany,Haema Blutspendezentrum Lübeck,
Dachauer Straße 70 80335 München Germany,Haema Blutspendezentrum München,+089 547 265 990
"Klostermarkt, Oberer Steinweg 10 08523 Plauen Germany",Haema Blutspendezentrum Plauen,
Nuthestraße 1 14480 Potsdam Germany,Haema Blutspendezentrum Potsdam,+49 331.297.04130
Hildegard-von-Bingen-Straße 1 93053 Regensburg Germany,Haema Blutspendezentrum Regensburg,+0941 280 897 0
"Deutsche-Med Platz 2, 18057 Rostock, Germany",Haema Blutspendezentrum Rostock,
"Friedrichstraße 18, 19055 Schwerin, Germany",Haema Blutspendezentrum Schwerin,
Steubenstraße 15 99423 Weimar Germany,Haema Blutspendezentrum Weimar,
Zwickau-Arcaden Marienstraße 3/1 08056 Zwickau Germany,Haema Blutspendezentrum Zwickau,
"11925 Beach Blvd Ste 212, Jacksonville, Florida 32246",Hemarus LLC,561.623.5490
"Neumann Janos utca 1/E, 1117 Budapest, Hungary",Human BioPlazma -Budapest I [KEDPLASMA Magyarorszag],36.1.209.9243
"Bajcsy-Zsilinszky út 12, 3rd Floor, 1051 Budapest, Hungary",Human BioPlazma -Budapest II [KEDPLASMA Magyarorszag],36.1.328.0438
"Füredi út 27, 4027 Debrecen, Hungary",Human BioPlazma -Debrecen I [KEDPLASMA Magyarorszag],36.52.531.923
"Peterfia u. 2, M4027 Debrecen, Hungary",Human BioPlazma -Debrecen II [KEDPLASMA Magyarorszag],36.52.887.821
"Kiraly u. 2, M-3530 Miskolc, Hungary",Human BioPlazma -Miskolc [KEDPLASMA Magyarorszag],36.46.888.198
"Rokus u 1, 7624 Pecs, Hungary",Human BioPlazma -Pecs [KEDPLASMA Magyarorszag],36.72.889148
"1745 W. Irving Blvd, Irving, Texas 75061","ImmunoTek BioCenters, LLC",469-299-7490
"416 18th Avenue, Meridian, Mississippi 39301","ImmunoTek BioCenters, LLC",601.462.5145
"4560 Lake Worth Road, Greenacres, Florida 33463","ImmunoTek BioCenters, LLC",561.270.6712
"3521 Anderson Street, Madison, Wisconsin 53704","Interstate Blood & Plasma, Inc.",608-240-2785
"665 Carey Avenue, Wilkes Barre, Pennsylvania 18702",Interstate Blood and Plasma Inc.,570-823-4119
"2053 22nd Avenue, Kenosha, Wisconsin 53140",Interstate Blood and Plasma Inc.,262-654-1366
"319 Gorham Street, Madison, Wisconsin 53703",Interstate Blood and Plasma Inc.,608-256-2110
"3324 West Lawrence Avenue, Chicago, Illinois 60625",Interstate Blood Bank Inc.,773-478-2989
"5121 Delmar Boulevard, St. Louis, Missouri 63108",Interstate Blood Bank Inc.,314-367-5200
"1530 West National Avenue, Milwaukee, Wisconsin 53204",Interstate Blood Bank Inc.,414-643-8222
"2126 West Fond du Lac Avenue, Milwaukee, Wisconsin 53206",Interstate Blood Bank Inc.,414-931-0600
"Hallstr 9, Furth, 90762 Germany",KEDPLASMA GmbH,911-216-5590
"Spinnereistr. 5 b, Bayreuth, 95445 Germany",KEDPLASMA GmbH,921-404-2020
"Rathausplatz 11, Ingolstadt, 85049 Germany",KEDPLASMA GmbH,841-934-3020
"Philippine-Welser-Str 8, 86150 Augsburg, Germany",KEDPLASMA GmbH,49.821.217007.10
"1255 Montlimar Drive, Mobile, Alabama 36609","KEDPLASMA, LLC",251-479-2224
"5301 Moffett Road, Suite 230, Mobile, Alabama 36618","KEDPLASMA, LLC",251-343-9407
"5401 Corporate Woods Drive Ste 500, Pensacola, Florida 32504","KEDPLASMA, LLC",850-476-7999
"250 YWCA Way, Winston-Salem, North Carolina 27127","KEDPLASMA, LLC",336-722-8206
"9025 Mansfield Road, Shreveport, Louisiana 71118","KEDPLASMA, LLC",318-703-6060
"1843 Cherry Road, Rock Hill, South Carolina 29732","KEDPLASMA, LLC",803-526-7300
"505 East Webb Avenue. Burlington, North Carolina 27217","KEDPLASMA, LLC",336-329-5090
